Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,02/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1010000
33671,02/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,220000
31216,02/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2420000
33021,02/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7000000
33660,02/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,6840000
33605,02/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4950000
33386,02/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,930000
33349,02/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33074,02/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2100000
32742,02/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6760000
32720,02/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6970000
33547,02/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,410000
32590,02/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2870000
33236,02/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18510000
32187,02/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11290000
32445,02/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16740000
33626,02/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1810000
33662,02/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4590000
33633,02/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13250000
32272,02/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,12930000
32696,02/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16030000
32518,02/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8880000
31165,02/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,16240000
31362,02/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11470000
32638,02/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3340000
32841,02/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,02/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,290000
33396,02/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,02/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7370000
33137,02/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1030000
33259,02/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2110000
33432,02/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,200000
33509,02/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,240000
33567,02/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,250000
31002,02/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5620000
32632,02/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5880000
32556,02/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,250000
31779,02/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,290000
32122,02/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3680000
32546,02/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,1990000
33690,02/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,210000
33608,02/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,400000
32677,02/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2540000
33497,02/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,02/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1080000
33309,02/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13720000
32236,02/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9310000
32208,02/01/2023,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4300000
33260,02/01/2023,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,10170000
33687,02/01/2023,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,380000
33575,02/01/2023,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4750000
33569,02/01/2023,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3220000
31454,02/01/2023,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10140000
33501,02/01/2023,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,4100000
33198,02/01/2023,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,5090000
32197,02/01/2023,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3970000
32769,02/01/2023,Borussia Dortmund,Haller,Sturm,0,-,-,-,9230000
32342,02/01/2023,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1970000
32508,02/01/2023,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,2050000
32007,02/01/2023,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,160000
33479,02/01/2023,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,180000
33366,02/01/2023,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,390000
33369,02/01/2023,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6460000
33125,02/01/2023,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,360000
33511,02/01/2023,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2920000
33481,02/01/2023,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1080000
32157,02/01/2023,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2810000
33499,02/01/2023,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,810000
33207,02/01/2023,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3250000
33449,02/01/2023,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,210000
